file,type,label,sample_rate,duration,rms,zcr,average_pitch,spectral_centroid,spectral_bandwidth,spectral_rolloff
speech_001.wav,REAL,0,16000,5.0,0.029709598049521446,0.1598452428343949,200.82035402861962,2056.584873508206,1721.3591145212079,3918.5907643312103
speech_002.wav,REAL,0,16000,0.34,0.01914714090526104,0.12020596590909091,159.63478239823283,1807.5936936354533,1725.4296153924313,3642.755681818182
speech_003.wav,REAL,0,16000,0.36,0.003210996277630329,0.07486979166666667,139.05461117535617,1481.9623393400134,1745.6433768677168,3119.140625
speech_004.wav,REAL,0,16000,0.52,0.0030058363918215036,0.0788717830882353,149.62257430041072,1540.9550803224913,1706.8536513125327,3181.0661764705883
speech_005.wav,REAL,0,16000,1.2,0.003959533758461475,0.09381424753289473,125.57607788029429,1621.7076554865046,1793.3914213163414,3453.125
speech_006.wav,REAL,0,16000,3.0,0.00784793496131897,0.09042033743351063,148.70207105175567,1495.4411814091077,1751.2267365210066,3236.535904255319
speech_007.wav,REAL,0,16000,2.22,0.03158531337976456,0.20625697544642857,192.70929636441187,2334.4203370399337,1716.7685804217183,4141.741071428572
speech_008.wav,REAL,0,16000,0.3,0.005584339611232281,0.085400390625,131.15058747466406,1500.9970697674814,1652.1243980018844,2935.15625
speech_009.wav,REAL,0,16000,1.36,0.014466317370533943,0.04614825581395349,85.23443506090997,1177.593512363679,1604.5192106568422,2480.5595930232557
speech_010.wav,REAL,0,16000,5.0,0.006067526061087847,0.08302647292993631,108.94907007928352,1511.9681158692385,1703.1521255853697,3172.0740445859874
speech_011.wav,REAL,0,16000,0.46,0.004027370363473892,0.05113932291666667,115.39890106613117,1284.4809547027057,1632.5792013115815,2723.9583333333335
speech_012.wav,REAL,0,16000,0.34,0.002340905601158738,0.08633700284090909,151.05522747471184,1446.4117938612396,1667.4096565500572,2997.159090909091
speech_013.wav,REAL,0,16000,4.2,0.015371851623058319,0.10804702296401515,168.48262691135625,1650.275588360495,1685.249167318317,3331.4985795454545
speech_014.wav,REAL,0,16000,4.02,0.008710994385182858,0.15766446552579366,165.69128841926903,2035.5769080320256,1722.5078155665524,3874.751984126984
speech_015.wav,REAL,0,16000,3.5,0.017278144136071205,0.13943536931818182,188.5422157794779,1911.8270857548678,1684.6208353806119,3819.1051136363635
speech_016.wav,REAL,0,16000,5.0,0.012796561233699322,0.12752848825636942,176.71031756063243,1795.2904415551923,1650.2132431598939,3455.563296178344
speech_017.wav,REAL,0,16000,2.92,0.02993108704686165,0.09437096637228261,188.4216978018372,1630.0027578137242,1595.0623256997667,3322.6902173913045
speech_018.wav,REAL,0,16000,5.0,0.01402363646775484,0.10314863654458599,156.86507425431657,1614.7317608610153,1623.0110314108133,3223.8256369426754
speech_019.wav,REAL,0,16000,1.74,0.013370639644563198,0.10355113636363636,158.6078445644351,1577.7459450503227,1660.3830927031963,3364.4886363636365
speech_020.wav,REAL,0,16000,5.0,0.01733437366783619,0.10083163316082802,178.67135391481398,1617.61820163983,1614.6748938052933,3190.684713375796
speech_021.wav,REAL,0,16000,1.74,0.017701243981719017,0.11881214488636363,159.09378402492464,1730.2533668519502,1667.543294342059,3392.471590909091
